Date,Close,Open,High,Low,Volume,,Vol.
03/06/2019,"11,086.00","11,279.60","11,297.20","11,050.80", 33.610000 ,,33.61M
03/07/2019,"10,134.00","10,339.90","10,362.80","10,111.20", 13.300000 ,,13.30M
03/09/2019,"9,905.30","10,156.90","10,202.70","9,905.30", 11.320000 ,,11.32M
03/10/2019,"9,859.50","9,928.10","9,928.10","9,813.80", 9.600000 ,,9.60M
03/12/2019,"10,728.80","10,500.00","10,843.20","10,385.70", 19.650000 ,,19.65M
03/13/2019,"12,089.00","11,965.90","12,089.00","11,930.70", 8.760000 ,,8.76M
03/14/2019,"12,036.30","12,089.00","12,194.60","11,930.70", 12.270000 ,,12.27M
03/15/2019,"11,226.80","11,613.90","11,649.10","11,209.20", 46.620000 ,,46.62M
03/18/2019,"11,209.20","11,086.00","11,402.80","10,751.70", 28.960000 ,,28.96M
03/19/2019,"11,226.80","11,191.60","11,244.40","10,945.30", 20.220000 ,,20.22M
03/20/2019,"11,367.60","11,086.00","11,473.20","11,086.00", 15.400000 ,,15.40M
03/21/2019,"11,262.00","11,367.60","11,420.40","11,244.40", 7.500000 ,,7.50M
03/22/2019,"11,244.40","11,297.20","11,332.40","11,209.20", 11.480000 ,,11.48M
03/25/2019,"11,050.80","10,945.30","11,138.80","10,945.30", 10.230000 ,,10.23M
03/26/2019,"11,121.20","11,121.20","11,174.00","11,015.60", 9.630000 ,,9.63M
03/27/2019,"11,385.20","11,226.80","11,385.20","11,138.80", 6.950000 ,,6.95M
03/28/2019,"11,420.40","11,314.80","11,420.40","11,297.20", 6.880000 ,,6.88M
03/29/2019,"11,332.40","11,455.60","11,508.40","11,226.80", 17.890000 ,,17.89M
04/01/2019,"10,452.50","10,347.00","10,558.10","10,100.60", 15.990000 ,,15.99M
04/03/2019,"12,441.00","12,229.80","12,441.00","12,212.20", 13.740000 ,,13.74M
04/04/2019,"11,402.80","11,314.80","11,402.80","11,262.00", 7.570000 ,,7.57M
04/06/2019,"11,117.70","11,255.00","11,346.50","11,003.30", 7.030000 ,,7.03M
04/07/2019,"10,202.70","10,065.40","10,294.20","10,065.40", 10.650000 ,,10.65M
04/09/2019,"9,882.40","9,836.60","9,973.90","9,836.60", 12.320000 ,,12.32M
04/10/2019,"9,768.00","9,882.40","9,928.10","9,745.10", 10.060000 ,,10.06M
04/11/2019,"9,951.00","10,111.20","10,156.90","9,928.10", 12.720000 ,,12.72M
04/12/2019,"10,728.80","10,705.90","10,797.40","10,683.10", 10.350000 ,,10.35M
04/16/2019,"11,174.00","11,226.80","11,262.00","11,103.60", 4.230000 ,,4.23M
04/17/2019,"11,121.20","11,174.00","11,209.20","11,086.00", 5.090000 ,,5.09M
04/18/2019,"11,015.60","11,050.80","11,103.60","11,015.60", 6.540000 ,,6.54M
04/19/2019,"11,121.20","11,033.20","11,156.40","11,033.20", 3.320000 ,,3.32M
04/22/2019,"11,209.20","11,033.20","11,297.20","11,033.20", 4.990000 ,,4.99M
04/23/2019,"11,226.80","11,262.00","11,262.00","11,209.20", 4.620000 ,,4.62M
04/24/2019,"11,737.10","11,262.00","11,737.10","11,226.80", 15.880000 ,,15.88M
04/25/2019,"11,649.10","11,789.90","11,842.70","11,613.90", 11.210000 ,,11.21M
04/26/2019,"11,825.10","11,684.30","11,895.50","11,649.10", 7.720000 ,,7.72M
05/03/2019,"12,335.40","12,353.00","12,529.00","12,300.20", 15.620000 ,,15.62M
05/04/2019,"11,438.00","11,402.80","11,490.80","11,350.00", 5.030000 ,,5.03M
05/06/2019,"10,888.90","11,163.40","11,300.70","10,843.20", 6.290000 ,,6.29M
05/07/2019,"10,202.70","10,202.70","10,271.30","10,134.00", 6.460000 ,,6.46M
05/08/2019,"10,134.00","10,225.50","10,294.20","10,065.40", 12.980000 ,,12.98M
05/09/2019,"9,928.10","9,905.30","10,042.50","9,882.40", 5.220000 ,,5.22M
05/11/2019,"10,019.70","9,973.90","10,134.00","9,951.00", 11.620000 ,,11.62M
05/12/2019,"10,568.70","10,683.10","10,728.80","10,545.80", 10.910000 ,,10.91M
05/13/2019,"11,279.60","11,596.30","11,596.30","11,262.00", 10.430000 ,,10.43M
05/14/2019,"11,402.80","11,156.40","11,402.80","11,156.40", 4.980000 ,,4.98M
05/15/2019,"11,402.80","11,402.80","11,508.40","11,367.60", 6.950000 ,,6.95M
05/16/2019,"11,367.60","11,420.40","11,508.40","11,367.60", 3.770000 ,,3.77M
05/17/2019,"11,350.00","11,367.60","11,402.80","11,332.40", 4.080000 ,,4.08M
05/20/2019,"11,543.50","11,350.00","11,631.50","11,350.00", 6.070000 ,,6.07M
05/21/2019,"11,578.70","11,596.30","11,684.30","11,543.50", 5.880000 ,,5.88M
05/22/2019,"11,613.90","11,613.90","11,754.70","11,578.70", 6.880000 ,,6.88M
05/23/2019,"11,525.90","11,613.90","11,631.50","11,490.80", 6.940000 ,,6.94M
05/24/2019,"11,314.80","11,438.00","11,490.80","11,314.80", 10.040000 ,,10.04M
05/27/2019,"11,332.40","11,297.20","11,385.20","11,297.20", 4.650000 ,,4.65M
05/28/2019,"11,279.60","11,438.00","11,438.00","11,279.60", 7.770000 ,,7.77M
05/29/2019,"11,438.00","11,367.60","11,438.00","11,279.60", 4.550000 ,,4.55M
05/30/2019,"11,262.00","11,438.00","11,438.00","11,244.40", 11.480000 ,,11.48M
05/31/2019,"11,297.20","11,262.00","11,332.40","11,262.00", 9.290000 ,,9.29M
06/03/2019,"12,317.80","12,317.80","12,388.20","12,106.60", 9.240000 ,,9.24M
06/05/2019,"11,772.30","11,754.70","11,895.50","11,684.30", 12.320000 ,,12.32M
06/06/2019,"10,385.70","10,934.70","10,934.70","10,225.50", 14.920000 ,,14.92M
06/08/2019,"9,951.00","9,859.50","10,065.40","9,859.50", 11.900000 ,,11.90M
06/09/2019,"9,790.90","9,973.90","10,019.70","9,790.90", 8.860000 ,,8.86M
06/11/2019,"10,065.40","10,065.40","10,134.00","10,042.50", 9.530000 ,,9.53M
06/12/2019,"10,911.80","10,568.70","10,934.70","10,568.70", 15.010000 ,,15.01M
06/13/2019,"10,522.90","10,705.90","10,705.90","10,477.20", 5.310000 ,,5.31M
06/14/2019,"10,500.00","10,522.90","10,545.80","10,500.00", 4.360000 ,,4.36M
06/17/2019,"10,271.30","10,500.00","10,522.90","10,271.30", 7.670000 ,,7.67M
06/18/2019,"10,545.80","10,271.30","10,568.70","10,271.30", 10.650000 ,,10.65M
06/19/2019,"10,911.80","10,728.80","10,911.80","10,660.20", 17.620000 ,,17.62M
06/20/2019,"10,797.40","11,026.20","11,026.20","10,797.40", 9.200000 ,,9.20M
06/21/2019,"10,843.20","10,934.70","10,934.70","10,797.40", 9.330000 ,,9.33M
06/24/2019,"10,683.10","10,888.90","11,003.30","10,660.20", 6.510000 ,,6.51M
06/25/2019,"10,568.70","10,614.40","10,705.90","10,522.90", 6.920000 ,,6.92M
06/26/2019,"10,477.20","10,545.80","10,637.30","10,477.20", 4.010000 ,,4.01M
06/27/2019,"10,317.00","10,477.20","10,500.00","10,317.00", 7.910000 ,,7.91M
06/28/2019,"10,751.70","10,317.00","10,751.70","10,271.30", 8.260000 ,,8.26M
07/01/2019,"10,329.40","10,663.70","10,681.30","10,259.00", 6.810000 ,,6.81M
07/03/2019,"12,001.10","12,317.80","12,335.40","12,001.10", 12.470000 ,,12.47M
07/05/2019,"11,789.90","11,895.50","11,895.50","11,754.70", 7.720000 ,,7.72M
07/06/2019,"10,500.00","10,522.90","10,660.20","10,454.30", 10.740000 ,,10.74M
07/08/2019,"10,111.20","10,019.70","10,134.00","9,973.90", 7.340000 ,,7.34M
07/10/2019,"9,745.10","9,768.00","9,836.60","9,699.40", 6.990000 ,,6.99M
07/11/2019,"10,385.70","10,134.00","10,408.50","10,111.20", 27.890000 ,,27.89M
07/15/2019,"9,813.80","10,065.40","10,065.40","9,813.80", 8.220000 ,,8.22M
07/16/2019,"9,882.40","9,882.40","9,905.30","9,813.80", 7.320000 ,,7.32M
07/17/2019,"9,768.00","9,905.30","9,905.30","9,745.10", 11.500000 ,,11.50M
07/18/2019,"9,585.00","9,768.00","9,790.90","9,539.30", 17.860000 ,,17.86M
07/19/2019,"9,424.90","9,607.90","9,699.40","9,333.40", 23.550000 ,,23.55M
07/22/2019,"9,493.50","9,424.90","9,699.40","9,287.60", 14.500000 ,,14.50M
07/23/2019,"9,928.10","9,516.40","9,951.00","9,516.40", 18.980000 ,,18.98M
07/24/2019,"9,859.50","9,928.10","9,973.90","9,790.90", 7.790000 ,,7.79M
07/25/2019,"10,248.40","9,836.60","10,248.40","9,836.60", 19.950000 ,,19.95M
07/26/2019,"10,317.00","10,339.90","10,545.80","10,271.30", 20.620000 ,,20.62M
07/29/2019,"10,111.20","10,317.00","10,317.00","9,951.00", 14.650000 ,,14.65M
07/30/2019,"9,836.60","10,111.20","10,156.90","9,836.60", 12.870000 ,,12.87M
07/31/2019,"10,317.00","9,790.90","10,317.00","9,745.10", 13.770000 ,,13.77M
08/01/2019,"10,153.40","10,347.00","10,382.20","10,100.60", 8.630000 ,,8.63M
08/03/2019,"11,948.30","11,789.90","12,071.50","11,754.70", 12.740000 ,,12.74M
08/04/2019,"11,402.80","11,438.00","11,490.80","11,367.60", 3.780000 ,,3.78M
08/05/2019,"11,666.70","11,701.90","11,719.50","11,613.90", 7.700000 ,,7.70M
